RESP charges:
  Type |   Atom   |    Charge

  RESP       1  C     0.243887
  RESP       2  N    -0.197246
  RESP       3  C     0.243887
  RESP       4  N    -0.197246
  RESP       5  C     0.243887
  RESP       6  N    -0.197246
  RESP       7  C     0.010679
  RESP       8  C    -0.078740
  RESP       9  C    -0.036586
  RESP      10  N     0.022357
  RESP      11  C    -0.036586
  RESP      12  C    -0.078740
  RESP      13  H     0.119207
  RESP      14  H     0.132458
  RESP      15  H     0.132458
  RESP      16  H     0.119207
  RESP      17  C     0.010679
  RESP      18  C    -0.078740
  RESP      19  C    -0.036586
  RESP      20  N     0.022357
  RESP      21  C    -0.036586
  RESP      22  C    -0.078740
  RESP      23  H     0.119207
  RESP      24  H     0.132458
  RESP      25  H     0.132458
  RESP      26  H     0.119207
  RESP      27  C     0.010679
  RESP      28  C    -0.078740
  RESP      29  C    -0.036586
  RESP      30  N     0.022357
  RESP      31  C    -0.036586
  RESP      32  C    -0.078740
  RESP      33  H     0.119207
  RESP      34  H     0.132458
  RESP      35  H     0.132458
  RESP      36  H     0.119207
  RESP      37  C     0.243887
  RESP      38  N    -0.197246
  RESP      39  C     0.243887
  RESP      40  N    -0.197246
  RESP      41  C     0.243887
  RESP      42  N    -0.197246
  RESP      43  C     0.010679
  RESP      44  C    -0.078740
  RESP      45  C    -0.036586
  RESP      46  N     0.022357
  RESP      47  C    -0.036586
  RESP      48  C    -0.078740
  RESP      49  H     0.119207
  RESP      50  H     0.132458
  RESP      51  H     0.132458
  RESP      52  H     0.119207
  RESP      53  C     0.010679
  RESP      54  C    -0.078740
  RESP      55  C    -0.036586
  RESP      56  N     0.022357
  RESP      57  C    -0.036586
  RESP      58  C    -0.078740
  RESP      59  H     0.119207
  RESP      60  H     0.132458
  RESP      61  H     0.132458
  RESP      62  H     0.119207
  RESP      63  C     0.010679
  RESP      64  C    -0.078740
  RESP      65  C    -0.036586
  RESP      66  N     0.022357
  RESP      67  C    -0.036586
  RESP      68  C    -0.078740
  RESP      69  H     0.119207
  RESP      70  H     0.132458
  RESP      71  H     0.132458
  RESP      72  H     0.119207
  RESP      73  C     0.243887
  RESP      74  N    -0.197246
  RESP      75  C     0.243887
  RESP      76  N    -0.197246
  RESP      77  C     0.243887
  RESP      78  N    -0.197246
  RESP      79  C     0.010679
  RESP      80  C    -0.078740
  RESP      81  C    -0.036586
  RESP      82  N     0.022357
  RESP      83  C    -0.036586
  RESP      84  C    -0.078740
  RESP      85  H     0.119207
  RESP      86  H     0.132458
  RESP      87  H     0.132458
  RESP      88  H     0.119207
  RESP      89  C     0.010679
  RESP      90  C    -0.078740
  RESP      91  C    -0.036586
