Simulation (fs)   Real (s)
2141.00000        1.9380600544e-05
3945.00000        9.2464625420e-03
2729.00000        1.0691300783e-04
3765.00000        8.1092570348e-03
2088.00000        1.2032834816e-06
3210.00000        8.4564427727e-06
2303.00000        2.0387600662e-07
2346.00000        1.1106044894e-06
1404.00000        9.5651403172e-10
2239.00000        6.1474696266e-07
2500.00000        1.0318129109e-05
3231.00000        4.2386043824e-05
2781.00000        1.7482160992e-04
3437.00000        4.4239031580e-02
1755.00000        1.4423001927e-08
2310.00000        5.0716721864e-06
1302.00000        1.4921957858e-08
2248.00000        3.3312720538e-06
1962.00000        1.2267583449e-06
2567.00000        1.4534224687e-05
3306.00000        2.7491177624e-03
2787.00000        6.7389516457e-04
2338.00000        1.0080566601e-06
3473.00000        4.8121414930e-03
2929.00000        3.4934002151e-04
1856.00000        8.0174086045e-09
2920.00000        5.2298653837e-05
2549.00000        2.1540053074e-06
3620.00000        1.6436650776e-04
1365.00000        8.3787428900e-09
