Simulation (fs)   Real (s)
2053.00000        5.3373443145e-07
1157.00000        3.8704345684e-09
883.00000         7.9242128513e-10
1454.00000        6.4881987593e-09
882.00000         1.8645886424e-10
727.00000         2.6139311232e-11
937.00000         1.7880181468e-10
1536.00000        1.6603494865e-09
1144.00000        1.6070021764e-08
1966.00000        2.4421696633e-07
1617.00000        4.9881733829e-10
836.00000         6.6683524002e-11
1113.00000        2.3909125419e-09
1054.00000        4.4793329857e-10
696.00000         5.9736164570e-12
1343.00000        1.3670083714e-08
1399.00000        3.2643236148e-10
700.00000         2.0079657510e-11
2124.00000        4.1900154022e-08
1418.00000        2.9988406935e-09
1163.00000        4.8355205413e-10
1167.00000        5.1833212237e-10
1009.00000        1.0430041373e-10
4000.00000        1.0430041373e-10
657.00000         9.8512631521e-12
4000.00000        9.8512631521e-12
1813.00000        2.8123850583e-09
1969.00000        2.2598938587e-08
1272.00000        1.4368680408e-09
685.00000         1.1411153266e-11
