Simulation (fs)   Real (s)
662.00000         6.9649710832e-12
700.00000         3.2387806925e-11
1383.00000        4.5631828057e-09
304.00000         8.9429089440e-13
374.00000         1.4157457751e-12
579.00000         4.9594941225e-12
629.00000         2.4070507478e-11
417.00000         1.5670279721e-12
189.00000         5.1147533161e-13
509.00000         6.8494780808e-11
300.00000         9.2716391153e-13
178.00000         3.7287834355e-13
943.00000         2.3066910498e-10
696.00000         2.3869133350e-11
330.00000         1.3315134382e-12
462.00000         2.3692548344e-12
344.00000         1.4555933233e-12
482.00000         2.6428959163e-12
436.00000         2.3891564879e-12
803.00000         6.1702324482e-10
987.00000         1.5370267891e-10
643.00000         1.7849718229e-11
296.00000         1.0353738423e-12
1126.00000        1.8725913164e-10
185.00000         3.7183931965e-13
275.00000         9.4021664523e-13
369.00000         4.7805076977e-12
292.00000         1.1326322007e-12
645.00000         1.0499735332e-11
946.00000         5.5161714896e-11
