Simulation (fs)   Real (s)
2700.00000        2.6171831283e-05
2170.00000        2.6418820324e-08
2700.00000        9.3888033896e-09
1698.00000        6.8789276955e-10
2700.00000        2.8189873408e-06
2488.00000        1.0788733752e-08
2700.00000        2.9143196960e-06
2700.00000        3.1517240884e-08
2700.00000        1.2874148446e-07
2700.00000        1.2874148446e-07
2700.00000        6.2524036455e-08
2700.00000        1.0379712788e-07
1900.00000        8.1040782384e-09
2700.00000        8.4314700976e-08
2700.00000        7.3807220960e-07
2700.00000        4.8503589646e-06
2700.00000        4.3212642444e-07
1014.00000        1.9475547452e-10
900.00000         4.1300998007e-11
2700.00000        7.4707929587e-07
2700.00000        2.1810382965e-07
2700.00000        3.9565319784e-07
2700.00000        4.9085882130e-07
2700.00000        5.7198869140e-08
2700.00000        1.1842520667e-06
2064.00000        3.8960836887e-08
2700.00000        6.8582143481e-08
2700.00000        5.3852811623e-07
2700.00000        5.1190021606e-07
2700.00000        4.8405042837e-07
