#! FIELDS time phi omega psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_omega -pi
#! SET max_omega pi
#! SET min_psi -pi
#! SET max_psi pi
 0.000000 -1.660853 0.070859 2.765162
 1.000000 -1.587226 -0.077378 3.020750
 2.000000 -1.383903 -0.247871 3.000524
 3.000000 -1.447195 -0.018257 3.041984
 4.000000 -0.906218 -0.277089 2.494383
 5.000000 -1.152728 -0.293584 2.882617
 6.000000 -1.167635 -0.147749 2.925634
 7.000000 -1.628926 -0.142242 -2.935145
 8.000000 -1.043094 -0.434281 2.979709
 9.000000 -1.519224 0.367551 -2.981810
 10.000000 -1.255176 -0.070892 2.735031
 11.000000 -1.137570 -0.319470 2.731206
 12.000000 -1.593552 -0.126602 3.105072
 13.000000 -0.745294 -0.452507 2.636062
 14.000000 -1.062795 -0.402626 2.912571
 15.000000 -0.971095 -0.328702 3.067680
 16.000000 -1.209075 -0.715530 2.986556
 17.000000 -1.556166 -0.036663 3.140502
 18.000000 -1.352747 -0.097575 2.710296
 19.000000 -1.040167 -0.286610 2.777639
 20.000000 -1.041879 -0.233232 2.627786
 21.000000 -0.756685 -0.633771 2.909473
 22.000000 -1.110650 -0.352628 2.842466
 23.000000 -1.458694 0.129195 3.117306
 24.000000 -1.334224 -0.284167 2.844141
 25.000000 -1.116165 -0.296234 3.089042
 26.000000 -1.287131 -0.616008 3.063375
 27.000000 -1.143955 -0.243660 3.013602
 28.000000 -1.417608 -0.004859 2.865489
 29.000000 -1.314905 -0.035357 2.909713
 30.000000 -1.429066 0.043389 3.055830
 31.000000 -0.757759 -0.541392 2.879199
 32.000000 -1.194388 -0.232217 2.910917
 33.000000 -0.848543 -0.683219 3.068283
 34.000000 -2.203092 0.346979 -2.788138
 35.000000 -1.049000 -0.248363 2.877990
 36.000000 -1.190394 -0.095512 2.749758
 37.000000 -1.955956 0.157665 3.030749
 38.000000 -0.815206 -0.607409 3.058688
 39.000000 -1.316015 -0.186557 2.744880
 40.000000 -0.924601 -0.319940 2.911718
 41.000000 -1.030208 -0.280989 -2.984381
 42.000000 -0.872207 -0.546712 2.964532
 43.000000 -0.799702 -0.444013 2.662507
 44.000000 -0.971103 -0.531028 2.776861
 45.000000 -1.269250 -0.071194 2.806273
 46.000000 -1.152226 -0.286072 2.926982
 47.000000 -0.886073 -0.461982 3.051816
 48.000000 -1.415073 0.145344 2.841338
 49.000000 -0.997983 -0.386676 2.887169
 50.000000 -1.559660 -0.118640 -3.050822
 51.000000 -1.099518 -0.425592 3.081429
 52.000000 -1.000709 -0.526174 2.877110
 53.000000 -1.392988 -0.219353 2.854202
 54.000000 -1.230997 -0.235225 3.020108
 55.000000 -0.846677 -0.547255 2.906516
 56.000000 -1.640813 0.028957 -3.087769
 57.000000 -1.116726 -0.488811 3.001453
 58.000000 -0.943350 -0.498597 3.000849
 59.000000 -0.920946 -0.316682 2.810451
 60.000000 -0.967574 -0.433468 2.902305
 61.000000 -1.203917 -0.140688 2.801915
 62.000000 -1.091891 -0.237875 2.764747
 63.000000 -0.834318 -0.454663 2.760782
 64.000000 -1.119978 -0.288377 2.894074
 65.000000 -1.337942 -0.131343 -2.807862
 66.000000 -1.114874 -0.141034 3.007165
 67.000000 -1.083543 -0.329579 2.923175
 68.000000 -0.883110 -0.494322 2.868782
 69.000000 -1.557168 -0.076528 -2.912795
 70.000000 -1.010733 -0.498991 -3.025374
 71.000000 -1.019309 -0.239042 2.722391
 72.000000 -1.130852 -0.477602 3.025962
 73.000000 -1.244547 -0.209861 2.855605
 74.000000 -0.849586 -0.470679 2.882102
 75.000000 -1.156326 -0.264312 2.900078
 76.000000 -1.293751 -0.320493 2.988872
 77.000000 -1.513815 -0.158689 -3.070895
 78.000000 -1.159849 -0.300729 -3.078813
 79.000000 -1.261185 0.054954 2.722738
